nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D
4347,8824,1563,0,0,4.70374131561896,5.22606408445619,7.73089622040129,36,52,62,5,6,5,6,6,5,11,11
4316,8057,1796,0,0,4.52123163842796,5.12151008877983,1.51651724178854,36,52,12,5,6,5,6,6,1,2,2
4213,6857,1563,0,0,4.0232310599393,4.54707290265837,6.73516190292042,36,54,62,5,6,5,7,7,5,11,11
4028,6179,1635,0,0,3.77013474641124,4.31807337473466,6.3991930796591,36,53,61,5,6,5,6,7,5,10,11
4490,6425,1686,0,0,4.0073477959298,4.57323699466916,6.77861184571275,36,54,62,5,6,5,7,7,5,11,11
4272,6066,1664,0,0,3.8170616089977,4.37541227620431,6.48609800836545,36,54,61,5,6,5,7,7,5,10,11
4182,8013,1529,0,0,4.37863215286116,4.87778126452272,7.23629131893394,36,52,62,5,6,5,6,6,5,11,11
4434,7557,1678,0,0,4.35580347793759,4.91773286282398,7.28297337618785,36,53,62,5,6,5,6,7,5,11,11
4242,8970,1620,0,0,4.73806870314636,5.27895981674711,7.80855012408528,36,52,61,5,6,5,6,6,5,10,11
4031,7631,1777,0,0,4.28985933028808,4.88347297249233,1.44611660150633,36,52,12,5,6,5,6,6,1,2,2
4148,7654,1742,0,0,4.32140645391499,4.90367937171073,1.45212972919654,36,52,12,5,6,5,6,6,1,2,2
4447,8537,1743,0,0,4.69981855379127,5.2824633888051,7.81848366857194,36,52,61,5,6,5,6,6,5,10,11
4258,6747,1564,0,0,4.00147594212922,4.52586003763418,6.70451257816847,36,54,62,5,6,5,7,7,5,11,11
4046,8121,1598,0,0,4.39509102800865,4.9288732023432,7.29349026318407,36,52,61,5,6,5,6,6,5,10,11
4048,6544,1547,0,0,3.86601578700139,4.38439975353566,6.49481541279882,36,53,62,5,6,5,6,7,5,11,11
4394,8589,1591,0,0,4.6507656096276,5.18113257224594,7.66854076569979,36,52,62,5,6,5,6,6,5,11,11
4027,7598,1734,0,0,4.26382463003466,4.84319306408894,1.43414381907666,36,52,12,5,6,5,6,6,1,2,2
4236,6752,1606,0,0,4.01016256386345,4.54844420649664,6.73825866438481,36,54,62,5,6,5,7,7,5,11,11
4244,8245,1526,0,0,4.4719263205335,4.98216910128466,7.37191658557922,36,52,62,5,6,5,6,6,5,11,11
4153,6926,1754,0,0,4.09006235619937,4.67703117792833,1.38576622117987,36,52,12,5,6,5,6,6,1,2,2
4307,7195,1522,0,0,4.14826184005139,4.65834962983164,6.89823781662116,36,54,62,5,6,5,7,7,5,11,11
4219,8230,1759,0,0,4.53593493059673,5.12353491472158,1.51675839170459,36,52,12,5,6,5,6,6,1,2,2
4452,7571,1693,0,0,4.37070830490641,4.93765602567374,7.31240335846058,36,53,62,5,6,5,6,7,5,11,11
4248,6068,1772,0,0,3.84580787477119,4.43992521315024,6.58251775506128,36,54,61,5,6,5,7,7,5,10,11
4472,7684,1739,0,0,4.42863087166648,5.01077818177306,7.42064666491688,36,53,61,5,6,5,6,7,5,10,11
4366,6482,1637,0,0,3.97201488074939,4.52121992897252,6.70022605206398,36,54,62,5,6,5,7,7,5,11,11
4013,8949,1650,0,0,4.67152588858557,5.22181815841713,1.54465244304196,36,52,12,5,6,5,6,6,1,2,2
4209,7550,1536,0,0,4.23854121258648,4.75270081199789,7.03579762187124,36,53,62,5,6,5,6,7,5,11,11
4298,6945,1543,0,0,4.07113239180252,4.58843501134943,6.79616770083153,36,54,62,5,6,5,7,7,5,11,11
4302,8956,1788,0,0,4.80684585409126,5.40367067109643,1.59910221641723,36,52,12,5,6,5,6,6,1,2,2
4416,6998,1632,0,0,4.15341460403917,4.70060101185197,6.96348699905431,36,54,62,5,6,5,7,7,5,11,11
4350,7156,1758,0,0,4.22611173449457,4.81479475454632,7.13269073114416,36,53,61,5,6,5,6,7,5,10,11
4397,7027,1779,0,0,4.20533152828323,4.80125025978323,7.11370189384447,36,53,61,5,6,5,6,7,5,10,11
4074,6046,1743,0,0,3.77631014467452,4.36033631949307,1.29272896645237,36,53,12,5,6,5,6,7,1,2,2
4334,6149,1722,0,0,3.88193012710614,4.4596782244183,6.61132905135665,36,54,61,5,6,5,7,7,5,10,11
4105,7395,1524,0,0,4.15263113489795,4.66269199860358,6.9026337976194,36,53,62,5,6,5,6,7,5,11,11
4403,8878,1652,0,0,4.76746670097064,5.31943203447611,7.87016790837321,36,52,62,5,6,5,6,6,5,11,11
4360,7640,1647,0,0,4.35012097744769,4.90150355534631,7.25757273415206,36,53,62,5,6,5,6,7,5,11,11
4226,8922,1587,0,0,4.70677463423936,5.23668877603366,7.7457545553738,36,52,61,5,6,5,6,6,5,10,11
4444,8226,1518,0,0,0,5.03206016230483,7.44682777094224,0,53,62,0,0,5,6,7,5,11,11
4466,7637,1696,0,0,4.39741293783634,4.96532984976024,7.35315740738526,36,53,62,5,6,5,6,7,5,11,11
4266,8703,1643,0,0,4.66601492670194,5.21477891446248,7.71534623260585,36,52,61,5,6,5,6,6,5,10,11
4224,7473,1612,0,0,4.24301858696733,4.78238889152116,7.0812087303628,36,53,61,5,6,5,6,7,5,10,11
4014,7121,1604,0,0,4.06203041558536,4.59864027405485,6.8096134268062,36,52,61,5,6,5,6,6,5,10,11
4349,6580,1703,0,0,4.02039229844082,4.59136939929595,6.80414000567342,36,54,61,5,6,5,7,7,5,10,11
4399,8287,1638,0,0,4.56947796400104,5.11737032480447,7.57390270270831,36,52,62,5,6,5,6,6,5,11,11
4489,8324,1785,0,0,4.65708602283932,5.25397693510056,7.77814527708598,36,52,61,5,6,5,6,6,5,10,11
4491,8431,1652,0,0,4.6488164932589,5.20139038243806,7.69822134767298,36,53,62,5,6,5,6,7,5,11,11
4174,8169,1532,0,0,4.42792929231524,4.94006242219741,7.309691514106,36,52,62,5,6,5,6,6,5,11,11
4295,6064,1718,0,0,3.84109974342462,4.41745198841808,6.54895667856866,36,54,61,5,6,5,7,7,5,10,11
4488,8658,1559,0,0,4.69123630609098,5.21266070693472,7.71262108634861,36,53,62,5,6,5,6,7,5,11,11
4250,7778,1595,0,0,4.34447336685172,4.87810381265597,7.22111539819529,36,53,62,5,6,5,6,7,5,11,11
4253,8647,1694,0,0,4.66051098426646,5.22628333920433,7.73318991814549,36,52,61,5,6,5,6,6,5,10,11
4038,6659,1728,0,0,3.95979360443176,4.53809909854394,1.34472151397785,36,52,12,5,6,5,6,6,1,2,2
4403,8248,1558,0,0,4.53173018182777,5.05304281340507,7.47807596387416,36,53,62,5,6,5,6,7,5,11,11
4069,7990,1632,0,0,4.37064702063266,4.91594167929509,7.27553398002067,36,52,61,5,6,5,6,6,5,10,11
4177,6678,1525,0,0,3.94161986025177,4.45290968735541,6.59603114822528,36,54,62,5,6,5,7,7,5,11,11
4268,8836,1600,0,0,4.69576982524457,5.23016871466205,7.73693693820249,36,52,61,5,6,5,6,6,5,10,11
4133,7792,1529,0,0,4.29184077164323,4.80324438551452,7.10884600685133,36,53,62,5,6,5,6,7,5,11,11
4472,7729,1707,0,0,4.43281009361866,5.00432413430175,7.41055298606789,36,53,61,5,6,5,6,7,5,10,11
4091,6334,1790,0,0,3.89053688748328,4.48982144131149,1.33090143308803,36,53,12,5,6,5,6,7,1,2,2
4278,6300,1714,0,0,3.91140533042306,4.48614035413769,6.64942820136369,36,54,61,5,6,5,7,7,5,10,11
4144,8008,1771,0,0,4.44487285455819,5.03644645222019,1.49114188838428,36,52,12,5,6,5,6,6,1,2,2
4040,6837,1781,0,0,4.03567050462351,4.63134024538872,1.37225975485292,36,52,12,5,6,5,6,6,1,2,2
4477,8524,1674,0,0,4.68207715261531,5.24189072975588,7.75785782756694,36,52,62,5,6,5,6,6,5,11,11
4395,7164,1639,0,0,4.203336284415,4.75258781615123,7.03958606404297,36,54,62,5,6,5,7,7,5,11,11
4291,6264,1617,0,0,3.87186082465853,4.41446998830751,6.54263919733925,36,54,62,5,6,5,7,7,5,11,11
4068,7744,1671,0,0,4.30312152809836,4.86157146830822,1.43934517799916,36,52,12,5,6,5,6,6,1,2,2
4130,6029,1619,0,0,3.7471453773296,4.29010237617352,6.3588634204943,36,54,61,5,6,5,7,7,5,10,11
4338,7147,1741,0,0,4.21393569771816,4.79694242579469,7.10601786199165,36,53,61,5,6,5,6,7,5,10,11
4220,8779,1698,0,0,4.69482906067331,5.26172727719988,7.78485272094714,36,52,61,5,6,5,6,6,5,10,11
4377,8453,1634,0,0,4.61541510326012,5.16170661233161,7.63855238049655,36,52,62,5,6,5,6,6,5,11,11
4375,8723,1772,0,0,4.74791492750021,5.33978641921869,7.90233992407274,36,52,61,5,6,5,6,6,5,10,11
4415,8476,1518,0,0,4.59643477604147,5.1042509585485,7.55224092442185,36,53,62,5,6,5,6,7,5,11,11
4101,6752,1630,0,0,3.97700816450725,4.52288349210333,6.70000029509951,36,53,61,5,6,5,6,7,5,10,11
4252,6543,1515,0,0,3.91725197605314,4.42543448804303,6.55650287305129,36,54,62,5,6,5,7,7,5,11,11
4245,8010,1604,0,0,4.42140972385546,4.95779657354499,7.33796972878566,36,52,62,5,6,5,6,6,5,11,11
4224,7218,1511,0,0,4.12691840712667,4.63307744248885,6.86015665511539,36,53,62,5,6,5,6,7,5,11,11
4305,6136,1566,0,0,3.81772777779478,4.34357785749116,6.43788768660173,36,54,62,5,6,5,7,7,5,11,11
4348,6207,1726,0,0,3.90637632136182,4.48540289474969,6.64923171024019,36,54,61,5,6,5,7,7,5,10,11
4144,7358,1579,0,0,4.17043464432675,4.69889250262944,6.95722895913601,36,53,61,5,6,5,6,7,5,10,11
4333,6159,1654,0,0,3.86258552002046,4.41771590141052,6.54850042767044,36,54,62,5,6,5,7,7,5,11,11
4203,6758,1713,0,0,4.03721062741079,4.61094496463216,6.83164675913157,36,53,61,5,6,5,6,7,5,10,11
4359,7222,1534,0,0,4.17678172392429,4.69096791854394,6.94678488478302,36,54,62,5,6,5,7,7,5,11,11
4320,6388,1758,0,0,3.96722590856131,4.55662114093172,6.75398226642698,36,53,61,5,6,5,6,7,5,10,11
4264,7379,1565,0,0,4.20911887203436,4.7331861500687,7.00834782804837,36,53,62,5,6,5,6,7,5,11,11
4290,8413,1745,0,0,4.61241770178378,5.19537600751784,7.68940185266398,36,52,61,5,6,5,6,6,5,10,11
4167,6590,1633,0,0,3.94535478698008,4.49218281920386,6.65629162819607,36,53,61,5,6,5,6,7,5,10,11
4337,7344,1638,0,0,4.24394848775283,4.79255752470132,7.09755046242181,36,53,62,5,6,5,6,7,5,11,11
4038,6489,1654,0,0,3.88022751582163,4.43416267289,6.56979924950872,36,53,61,5,6,5,6,7,5,10,11
4008,6372,1738,0,0,3.86063853608407,4.44242754667586,1.31665048854509,36,53,12,5,6,5,6,7,1,2,2
4309,6012,1657,0,0,3.80847258924661,4.36469117366258,6.47062175209957,36,54,62,5,6,5,7,7,5,11,11
4311,7479,1723,0,0,4.30782423770717,4.88443749613578,7.23367768635361,36,53,61,5,6,5,6,7,5,10,11
4253,8249,1585,0,0,4.49532606384189,5.02522869414069,7.43638668499692,36,52,62,5,6,5,6,6,5,11,11
4104,8977,1670,0,0,4.71477021160843,5.27188818376994,1.55958353464512,36,52,12,5,6,5,6,6,1,2,2
4038,6890,1732,0,0,4.03620907354286,4.61560149695679,1.36745295421994,36,52,12,5,6,5,6,6,1,2,2
4187,7510,1670,0,0,4.26279587257999,4.82143238918665,7.13903053945587,36,52,61,5,6,5,6,6,5,10,11
4054,6828,1568,0,0,3.96711506910712,4.49216986155503,6.65325344793869,36,53,61,5,6,5,6,7,5,10,11
4118,6809,1657,0,0,4.00957769538814,4.56440057734967,6.76152506140955,36,53,61,5,6,5,6,7,5,10,11
4457,7026,1541,0,0,4.14519280978004,4.66203942187329,6.90554914418025,36,54,62,5,6,5,7,7,5,11,11
4264,6346,1538,0,0,3.86432007178652,4.38047631273998,6.49107544346592,36,54,62,5,6,5,7,7,5,11,11
4441,6009,1513,0,0,3.80037201222856,4.30907580091189,6.38758107022657,36,54,62,5,6,5,7,7,5,11,11
4412,8061,1562,0,0,4.47495814609327,4.99774193308906,7.39721010067458,36,53,62,5,6,5,6,7,5,11,11
4185,8309,1730,0,0,4.54174464893812,5.1195419619702,1.51539568595672,36,52,12,5,6,5,6,6,1,2,2
4086,7982,1593,0,0,4.3603961096765,4.89279129679707,7.24094760019807,36,52,61,5,6,5,6,6,5,10,11
4267,8658,1686,0,0,4.66582756644802,5.22896871809855,7.73707960043527,36,52,61,5,6,5,6,6,5,10,11
4387,6227,1634,0,0,3.89449264542111,4.44303635068537,6.5857574973855,36,54,62,5,6,5,7,7,5,11,11
4355,7023,1686,0,0,4.16077429881715,4.72569711640037,7.00073882746093,36,53,61,5,6,5,6,7,5,10,11
4074,6610,1619,0,0,3.91900722355388,4.4612753710769,6.60920297095736,36,53,61,5,6,5,6,7,5,10,11
4294,7341,1730,0,0,4.26004567950367,4.83905098115013,7.1671213518962,36,53,61,5,6,5,6,7,5,10,11
4149,8414,1587,0,0,4.51808337218367,5.04826526770979,7.46912181191443,36,52,61,5,6,5,6,6,5,10,11
4299,6263,1713,0,0,3.90541079730074,4.4799444691234,6.6405406588839,36,54,61,5,6,5,7,7,5,10,11
4213,8972,1751,0,0,4.77281362337019,5.35706851763335,1.58511391342557,36,52,12,5,6,5,6,6,1,2,2
4098,6067,1604,0,0,3.74479043552356,4.28271416573703,6.34743190825553,36,54,61,5,6,5,7,7,5,10,11
4279,8299,1559,0,0,4.51094882796744,5.03220466191983,7.44627709272208,36,52,62,5,6,5,6,6,5,11,11
4018,7255,1544,0,0,4.08715957141847,4.60373890864932,6.81584276897868,36,53,61,5,6,5,6,7,5,10,11
4015,7924,1545,0,0,4.30422737920195,4.82054959777511,7.13339230583442,36,52,61,5,6,5,6,6,5,10,11
4360,6698,1541,0,0,4.00894964715898,4.52601660355294,6.70523236841935,36,54,62,5,6,5,7,7,5,11,11
4247,7113,1642,0,0,4.14276101735438,4.69265624239486,6.95038800567911,36,53,61,5,6,5,6,7,5,10,11
4467,8279,1693,0,0,4.60554307276685,5.17157066689682,7.65562138060984,36,52,61,5,6,5,6,6,5,10,11
4192,8021,1642,0,0,4.42134054281092,4.9702278072589,7.35648092211626,36,52,61,5,6,5,6,6,5,10,11
4289,8168,1685,0,0,4.51270985825263,5.07597710259966,7.51323377258528,36,52,61,5,6,5,6,6,5,10,11
4487,6550,1692,0,0,4.04912936418159,4.61680497834321,6.84253746919581,36,54,62,5,6,5,7,7,5,11,11
4046,8313,1536,0,0,4.43724509260125,4.95033551261971,7.32349334373365,36,52,61,5,6,5,6,6,5,10,11
4032,6353,1591,0,0,3.81348225257936,4.34661699017927,6.44022316646027,36,53,61,5,6,5,6,7,5,10,11
4162,7471,1503,0,0,4.18775454067922,4.69090820751854,6.9440899110256,36,53,62,5,6,5,6,7,5,11,11
4295,7411,1749,0,0,4.2893822464527,4.87466756200519,7.21973615951877,36,52,61,5,6,5,6,6,5,10,11
4173,7112,1502,0,0,4.07394647929819,4.57709920545499,6.77748683821945,36,53,62,5,6,5,6,7,5,11,11
4256,7840,1681,0,0,4.39472727209654,4.95691936911836,7.33842386954324,36,52,61,5,6,5,6,6,5,10,11
4136,7176,1511,0,0,4.08650971792678,4.59249723945996,6.79984070208458,36,53,62,5,6,5,6,7,5,11,11
4281,7038,1767,0,0,4.16974012084555,4.76132317942569,7.05385100236178,36,53,61,5,6,5,6,7,5,10,11
4189,8372,1620,0,0,4.52741700370833,5.06868271877096,7.500150086269,36,52,61,5,6,5,6,6,5,10,11
4020,6389,1546,0,0,3.80677268676025,4.32489673905384,6.40739301877269,36,53,61,5,6,5,6,7,5,10,11
4044,7495,1631,0,0,4.20166870362402,4.74697364743291,7.02775206273006,36,52,61,5,6,5,6,6,5,10,11
4392,6108,1545,0,0,3.82819116383811,4.34732854873277,6.4438008903311,36,54,62,5,6,5,7,7,5,11,11
4086,6796,1695,0,0,4.00812719133263,4.57550504573948,1.35564460680878,36,53,12,5,6,5,6,7,1,2,2
4457,7255,1500,0,0,4.20616446159886,4.70925731433425,6.97383207357593,36,54,62,5,6,5,7,7,5,11,11
4094,7520,1763,0,0,4.26828254374741,4.857486842104,1.43857857530118,36,52,12,5,6,5,6,6,1,2,2
4425,7471,1786,0,0,4.36051619518432,4.95839290146342,7.34436512432666,36,53,61,5,6,5,6,7,5,10,11
4199,6145,1657,0,0,3.81826925935735,4.37401949392398,6.48324610576941,36,54,61,5,6,5,7,7,5,10,11
4112,8537,1529,0,0,4.52777557298795,5.03844015087211,7.45304833633814,36,52,62,5,6,5,6,6,5,11,11
4458,8925,1758,0,0,4.83427247727797,5.42163129483803,8.02272904989029,36,52,61,5,6,5,6,6,5,10,11
4269,6479,1550,0,0,3.91300697410019,4.43302857401913,6.56833341731829,36,54,62,5,6,5,7,7,5,11,11
4354,8267,1743,0,0,4.58371921258641,5.16638622917778,7.64755248254036,36,52,61,5,6,5,6,6,5,10,11
4218,6038,1523,0,0,3.74524052661789,4.25661870388629,6.30877646829436,36,54,62,5,6,5,7,7,5,11,11
4379,7366,1561,0,0,4.23855422659479,4.7616292761713,7.05105671670708,36,54,62,5,6,5,7,7,5,11,11
4472,7177,1698,0,0,4.25033079443372,4.81940717298091,7.13943841011036,36,53,62,5,6,5,6,7,5,11,11
4044,6598,1633,0,0,3.91060406776276,4.45746743497975,6.60361482165519,36,53,61,5,6,5,6,7,5,10,11
4305,7052,1518,0,0,4.09984096911158,4.60875807371515,6.82550231941736,36,54,62,5,6,5,7,7,5,11,11
4231,6173,1690,0,0,3.8479095350111,4.41468198335925,6.54378663659031,36,54,61,5,6,5,7,7,5,10,11
4186,6483,1549,0,0,3.888815475625,4.40829635393296,6.53124259504506,36,54,62,5,6,5,7,7,5,11,11
4099,6083,1521,0,0,3.72309831351463,4.23347287782984,6.27367697559323,36,54,62,5,6,5,7,7,5,11,11
4129,7306,1636,0,0,4.16769770767854,4.71507692276046,6.98197407284448,36,52,61,5,6,5,6,6,5,10,11
4255,8166,1615,0,0,4.47882643918641,5.01876878507966,7.42758492538141,36,52,61,5,6,5,6,6,5,10,11
4274,6106,1685,0,0,3.8375456785018,4.40283655607972,6.52672366796612,36,54,61,5,6,5,7,7,5,10,11
4443,6682,1724,0,0,4.08900144964757,4.66713260228305,6.91650119175168,36,54,61,5,6,5,7,7,5,10,11
4308,6700,1532,0,0,3.99084228164131,4.50477183467,6.67342655825806,36,54,62,5,6,5,7,7,5,11,11
4089,6016,1754,0,0,3.77468163331188,4.36239073893459,1.293394529224,36,53,12,5,6,5,6,7,1,2,2
4350,8531,1655,0,0,4.63947223465977,5.19262439921623,7.68399386309396,36,52,61,5,6,5,6,6,5,10,11
4100,6794,1686,0,0,4.00875869314484,4.5731968232683,6.774806812727,36,53,61,5,6,5,6,7,5,10,11
4482,7696,1784,0,0,4.45034078113316,5.04744639655705,7.47539522453328,36,53,61,5,6,5,6,7,5,10,11
4203,7591,1748,0,0,4.31959746719762,4.90407297399621,1.45237627983349,36,52,12,5,6,5,6,6,1,2,2
4134,8047,1629,0,0,4.40795595902096,4.95236874948772,7.3294489056033,36,52,61,5,6,5,6,6,5,10,11
4323,8925,1703,0,0,4.77522503343204,5.34387464502592,7.90627521266774,36,52,61,5,6,5,6,6,5,10,11
4228,6849,1771,0,0,4.09346054457362,4.68637711733815,1.38871101113335,36,53,12,5,6,5,6,7,1,2,2
4016,7080,1763,0,0,4.10165927919858,4.69089160335835,1.38960641795885,36,52,12,5,6,5,6,6,1,2,2
4488,6624,1628,0,0,4.05235884500077,4.59875087958922,6.81483448902915,36,54,62,5,6,5,7,7,5,11,11
4066,6085,1767,0,0,3.79443180494256,4.38674357674824,1.30042608287326,36,53,12,5,6,5,6,7,1,2,2
4249,7815,1683,0,0,4.38516721178025,4.94803757076101,7.32537702787289,36,52,61,5,6,5,6,6,5,10,11
4269,6603,1544,0,0,3.95140295374207,4.46925493697651,6.62134169701892,36,54,62,5,6,5,7,7,5,11,11
4474,8669,1691,0,0,4.73384990211428,5.29912380173202,7.84201770861576,36,52,61,5,6,5,6,6,5,10,11
4435,6689,1719,0,0,4.0872515242858,4.66371735918442,6.91133321261285,36,54,61,5,6,5,7,7,5,10,11
4373,7648,1548,0,0,4.32419200251006,4.8431227771518,7.1694471794082,36,53,62,5,6,5,6,7,5,11,11
4468,7021,1578,0,0,4.15902582112267,4.68833500973629,6.9449356519217,36,54,62,5,6,5,7,7,5,11,11
4340,6814,1692,0,0,4.09019002125699,4.6572660984254,6.90046219568327,36,53,61,5,6,5,6,7,5,10,11
4306,8864,1689,0,0,4.74562819695318,5.30968911425155,7.85575981822971,36,52,61,5,6,5,6,6,5,10,11
4488,8874,1789,0,0,4.83700222169156,5.43469814159416,8.04282079267629,36,52,61,5,6,5,6,6,5,10,11
4369,6002,1511,0,0,3.77549143346805,4.28332752534527,6.34913600421539,36,54,62,5,6,5,7,7,5,11,11
4361,8927,1597,0,0,4.75261452996521,5.28616436139393,7.81982418528482,36,52,62,5,6,5,6,6,5,11,11
4247,6073,1713,0,0,3.82783696946983,4.40241757751661,6.52638235561346,36,54,61,5,6,5,7,7,5,10,11
4040,6266,1737,0,0,3.83554007886236,4.41724414620865,1.30932880965053,36,53,12,5,6,5,6,7,1,2,2
4214,8286,1761,0,0,4.55332905727888,5.14154916117793,1.52202806494994,36,52,12,5,6,5,6,6,1,2,2
4117,6088,1608,0,0,3.75875032112396,4.29807873677712,6.37021661071949,36,54,61,5,6,5,7,7,5,10,11
4109,6593,1680,0,0,3.94415606052258,4.5068325721969,6.67751233622306,36,53,61,5,6,5,6,7,5,10,11
4429,7322,1706,0,0,4.28698052687021,4.8584128650365,7.19633549473385,36,53,61,5,6,5,6,7,5,10,11
4382,8089,1677,0,0,4.51270844854337,5.07367122355427,7.51061549326594,36,52,61,5,6,5,6,6,5,10,11
4186,6123,1724,0,0,3.8290982505643,4.40708457894806,6.53285134926258,36,53,61,5,6,5,6,7,5,10,11
