nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio
4422,7090,1660,10000,91567.1600268581,0,36.0091030487629,54.0511179500041,0,100,119,0,0,5,13,13,5,19,19,10000,10
4133,6678,1623,10000,101060.478882104,0,38.8382513182103,58.122911328982,0,103,122,0,0,5,11,12,5,16,16,10000,10
4133,6220,1609,10000,98354.1120916582,0,37.8505863224121,56.6750253466828,0,103,121,0,0,5,11,11,5,16,16,10000,10
4064,8355,1715,10000,106999.762767045,0,0,61.6166368243108,0,0,123,0,0,0,0,0,5,19,20,10000,10
4393,7421,1571,10000,96162.6792105483,0,37.6580333914798,56.3175344272095,0,102,122,0,0,5,11,11,5,16,16,10000,10
4352,7197,1691,10000,105685.005648165,0,40.652143032542,60.558303498827,0,104,122,0,0,5,12,12,5,20,20,10000,10
4129,8220,1773,10000,96320.5922615069,0,37.9624364603074,56.7827728409621,0,102,120,0,0,5,14,14,5,16,16,10000,10
4313,7220,1743,10000,91770.5103081956,0,36.2972107271133,54.3310151258985,0,101,120,0,0,5,12,12,5,16,16,10000,10
4456,6461,1545,10000,99867.5829495111,0,38.3870437608608,57.5808769256944,0,103,122,0,0,5,12,12,5,17,18,10000,10
4050,7298,1798,10000,96546.5535243739,0,37.6676514704186,56.5108581242626,0,102,120,0,0,5,12,12,5,17,17,10000,10
4405,7383,1779,10000,106617.655803347,0,40.8581074665244,61.2241478607386,0,103,123,0,0,5,12,12,5,17,17,10000,10
4370,6045,1581,10000,98000.5128976439,0,37.7501576831943,56.3146588314483,0,103,121,0,0,5,11,11,5,18,18,10000,10
4128,7742,1725,10000,101653.298236844,0,39.3885600940639,58.9092857949474,0,103,121,0,0,5,12,12,5,19,20,10000,10
4135,7139,1757,10000,103724.079666446,0,39.8401801471155,59.6090466818742,0,104,122,0,0,5,12,12,5,20,20,10000,10
4144,7966,1771,10000,91888.3692665588,0,36.5764230278326,54.6661135852632,0,100,119,0,0,5,11,11,5,16,17,10000,10
4118,8361,1568,10000,104501.59188247,0,40.4691601821895,60.4328989708003,0,104,123,0,0,5,12,12,5,16,17,10000,10
4278,7012,1697,10000,92229.7926273689,0,36.5594875773588,54.2761674669089,0,100,120,0,0,5,12,12,5,17,17,10000,10
4040,7510,1632,10000,95633.4189886222,0,37.5266290997961,56.0047214529442,0,102,120,0,0,5,11,12,5,17,17,10000,10
4097,6557,1723,10000,103441.557403126,0,39.5430159545432,59.0766768269298,0,104,122,0,0,5,12,12,5,20,21,10000,10
4384,7575,1684,10000,93572.2776228632,0,36.8090795040913,55.2183923268224,0,101,120,0,0,5,13,13,5,19,19,10000,10
4114,8761,1799,10000,90312.5356323427,0,36.2538494802224,54.2910768142277,0,99,118,0,0,5,11,11,5,16,16,10000,10
4009,6491,1673,10000,93270.1776037043,0,36.4044190167591,54.4700614520877,0,101,120,0,0,5,13,13,5,15,16,10000,10
4355,6401,1758,10000,92394.37100455,0,36.2625594249319,54.1284954892584,0,102,119,0,0,5,11,11,5,17,17,10000,10
4253,6095,1518,10000,92982.3973969051,0,36.0835335823907,54.0685315379339,0,102,120,0,0,5,13,13,5,16,16,10000,10
4100,7350,1678,10000,103373.690418869,0,39.8538461391717,59.5100473059584,0,104,122,0,0,5,12,12,5,16,16,10000,10
4280,7095,1611,10000,106488.589161077,0,40.6796255912831,0,0,104,0,0,0,5,14,14,0,0,0,10000,10
4446,7966,1710,10000,97084.5900948257,0,0,57.0554039236044,0,0,120,0,0,0,0,0,5,19,19,10000,10
4286,6980,1779,10000,105503.160872802,0,40.3914337371859,60.436725572113,0,104,122,0,0,5,12,12,5,20,20,10000,10
4325,8346,1646,10000,102220.464923004,0,39.5137479496005,59.4871149107579,0,102,122,0,0,5,15,15,5,19,20,10000,10
4446,7574,1674,10000,94705.8915084193,0,37.3292290323492,56.3394189350566,0,101,121,0,0,5,11,11,5,18,19,10000,10
4064,6761,1682,10000,94179.0802862705,0,0,55.0417937127346,0,0,121,0,0,0,0,0,5,16,16,10000,10
4416,6434,1514,10000,101932.348673868,0,0,58.4640172117888,0,0,123,0,0,0,0,0,5,16,16,10000,10
4196,6689,1747,10000,103978.379409387,0,39.8489583185768,59.4930477547124,0,103,121,0,0,5,12,12,5,20,20,10000,10
4168,7025,1715,10000,102243.058516351,0,39.3389531834143,58.9509511300483,0,104,122,0,0,5,12,12,5,18,18,10000,10
4291,7913,1677,10000,103626.036533488,0,40.0463527580796,59.9833315866671,0,104,122,0,0,5,12,12,5,16,16,10000,10
4088,8897,1744,10000,101900.643598989,0,39.7876461774443,0,0,103,0,0,0,5,12,12,0,0,0,10000,10
4310,7478,1669,10000,100545.65160341,0,39.0908363482751,58.37980529431,0,104,122,0,0,5,12,12,5,16,16,10000,10
4464,8538,1684,10000,104840.653175781,0,40.4448307557767,60.9157245567615,0,103,124,0,0,5,15,15,5,17,17,10000,10
