nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio,kpol_to_kribo_ratio
4487,7423,1503,250000,2588940.50221413,1476.59235748269,864.838749595397,1291.74717832181,78,86,78,15,5,16,5,5,8,5,5,250000,10,100
4246,8013,1522,250000,2683200.49775874,1471.89309824329,894.261594206877,1334.60807443668,77,86,78,15,5,16,5,5,8,5,5,250000,10,100
4061,8487,1567,250000,2527279.85568698,1415.89983045704,848.234750615193,1953.91894809264,79,87,81,16,5,17,5,5,5,5,5,250000,10,100
4445,7648,1595,250000,2307718.33980937,1324.26143638123,790.317669127374,1165.24115333576,79,88,79,16,5,18,5,5,9,5,5,250000,10,100
4147,6350,1757,250000,2431365.44503883,0,817.271667008244,1219.77041321209,0,87,78,0,0,17,5,5,8,5,5,250000,10,100
4172,6486,1686,250000,2574893.40141819,0,860.56303894862,1284.45277209673,0,86,78,0,0,16,5,5,8,5,5,250000,10,100
4155,6423,1798,250000,2446816.16421244,0,934.142377074129,1227.1100357524,0,87,78,0,0,15,5,5,8,5,5,250000,10,100
4163,6315,1558,250000,2700370.36068126,0,179.859541846159,1343.14256689829,0,17,78,0,0,3,1,1,8,5,5,250000,10,100
4400,8122,1573,250000,2349611.04182107,0,819.800394650606,1183.79063360936,0,87,79,0,0,17,5,5,9,5,5,250000,10,100
4142,7576,1679,250000,2303295.97970771,1321.79475051798,808.132772420612,1163.32157146282,79,87,79,16,5,17,5,5,9,5,5,250000,10,100
4129,6443,1517,250000,2308061.80727029,1714.12581928587,797.032538468183,1169.62316960273,79,87,79,11,5,17,5,5,9,5,5,250000,10,100
4297,7849,1544,250000,2569796.86119289,0,858.489581478452,1283.83165649128,0,86,78,0,0,16,5,5,8,5,5,250000,10,100
4005,8165,1770,250000,2473796.29044269,1392.84529592282,838.363251613117,1240.28231432378,79,87,78,16,5,17,5,5,8,5,5,250000,10,100
4114,7253,1607,250000,2516970.37319091,1346.01131084381,842.479861977731,1259.09622975925,79,87,78,17,5,17,5,5,8,5,5,250000,10,100
